id,name,category,city,address,rating,reviews_count,site,phone
c_001005,ИП Богданов С. Д.,Ресторан,Санкт-Петербург,"ул. Садовая, д. 112",3.8,35,https://ip-815.ru,+7 (961) 193-15-11
c_001014,ООО «Кристалл Медиа»,Юридические услуги,Екатеринбург,"ул. Южная, д. 28, офис 287",4.4,34,https://kristall-media-958.ru,+7 (925) 934-78-65
c_001119,«Темп Групп»,Оптовая торговля,Москва,"ул. Молодёжная, д. 2, офис 56",4.4,22,http://temp-group-649.ru,+7 (863) 861-52-77
c_001017,ООО «Восток Плюс»,Кофейня,Екатеринбург,"ул. Мира, д. 7, офис 42",4.0,6,https://vostok-plus-870.net,+7 (383) 622-22-19
c_001009,ИП Виноградов А. С.,Образовательный центр,Воронеж,"ул. Гагарина, д. 105",4.3,52,https://ip-138.com,+7 (925) 963-29-10
c_001075,ООО «Восток Групп»,Риэлторское агентство,Уфа,"ул. Мира, д. 72",4.1,133,https://vostok-group-162.ru,+7 (343) 799-87-58
c_001172,ООО «Восток Сервис»,Рекламное агентство,Воронеж,"ул. Южная, д. 34",4.5,45,http://vostok-service-730.ru,+7 (831) 256-28-67
c_001083,ООО «Синтез»,Оптовая торговля,Казань,"ул. Парковая, д. 56, офис 316",N/A,58,https://sintez-371.ru,
c_001089,ООО «Платформа Медиа»,Медицинский центр,Ростов-на-Дону,"ул. Строителей, д. 83",3.9,47,https://platforma-media-650.ru,+7 (843) 777-68-72
c_001170,ИП Павлов А. С.,Стоматология,Москва,"ул. Пушкина, д. 112",5.0,70,https://ip-714.ru,+7 (499) 804-55-77
c_000263,ИП Иванов Д. С.,Автосервис,Краснодар,"ул. Ленина, д. 94",4.4,186,https://ip-909.ru,+7 (843) 424-12-32
c_001147,АО «Стимул Лаб»,Охранное предприятие,Казань,"ул. Трудовая, д. 24",3.6,108,https://stimul-lab-906.ru,+7 (916) 413-40-58
c_001010,ООО «Восток Тех»,Оптовая торговля,Екатеринбург,"ул. Победы, д. 70, офис 130","4,5",53,https://vostok-tech-747.net,+7 (863) 750-43-89
c_001055,АО «Полёт Лаб»,Производство мебели,Ростов-на-Дону,"ул. Северная, д. 35",4.1,30,https://polet-lab-600.ru,+7 (812) 843-15-24
c_001124,ИП Орлов А. А.,IT-интегратор,Нижний Новгород,"ул. Пушкина, д. 5, офис 240",4.0,130,https://ip-73.ru,+7 (831) 147-49-98
c_001078,ООО «Маяк Медиа»,Рекламное агентство,Москва,"ул. Советская, д. 7, офис 218",4.0,11,,+7 (961) 306-17-21
c_001026,ИП Соколов А. А.,Стоматология,Санкт-Петербург,"ул. Строителей, д. 47",4.4,202,https://ip-231.ru,+7 (843) 916-24-18
c_001057,ООО «Аверс Плюс»,Медицинский центр,Санкт-Петербург,"ул. Кирова, д. 19",4.2,7,,+7 (499) 692-39-40
c_001048,«Триумф Строй»,Оптовая торговля,Санкт-Петербург,"ул. Строителей, д. 5",4.6,39,,+7 (916) 963-28-59
c_001081,ИП Виноградов В. С.,Строительная компания,Санкт-Петербург,"ул. Центральная, д. 20, офис 364",3.9,162,https://ip-251.ru,+7 (903) 799-62-64
c_001182,ООО «Опора Трейд»,Рекламное агентство,Санкат-Петербург,"ул. Советская, д. 87",4.7,89,https://opora-trade-599.ru,+7 (495) 502-81-23
c_001063,АО «Восток Тех»,Охранное предприятие,Новосибирск,"ул. Трудовая, д. 56, офис 18",4.7,56,https://vostok-tech-297.ru,
c_001175,ИП Тарасов А. В.,Медицинский центр,Краснодар,"ул. Парковая, д. 58",4.4,3,,+7 (812) 214-34-66
c_900008,АО Флагман Лаб,Бухгалтерские услуги,Пермь,"ул. Южная, д. 113",4.8,33,https://flagman-lab-170.ru,+7 (343) 595-91-51
c_001165,«Восток»,Ресторан,Краснодар,"ул. Школьная, д. 118",4.5,14,https://vostok-979.ru,+7 (961) 461-44-84
c_001069,ИП Павлов Д. С.,Строительная компания,Калуга,"ул. Строителей, д. 36",4.2,64,http://ip-930.ru,+7 (831) 420-38-54
c_001004,ООО «Дельта Строй»,Оптовая торговля,Краснодар,"ул. Центральная, д. 65, офис 74",4.3,12,,8 (925) abc-12-34
c_001134,ИП Козлов А. Д.,Юридические услуги,Краснодар,"ул. Молодёжная, д. 27",4.3,40,https://ip-852.net,+7 (383) 160-29-39
c_001160,ООО «Маяк Сервис»,Логистика,Сочи,"ул. Строителей, д. 106",3.4,6,https://mayak-service-956.ru,+7 (916) 304-61-70
c_001062,АО «Платформа Медиа»,Бухгалтерские услуги,Москва,"ул. Заводская, д. 118, офис 195",4.4,6,https://platforma-media-729.ru,
c_001140,«Вертикаль Трейд»,Салон красоты,Москва,"ул. Молодёжная, д. 17",3.7,165,http://vertikal-trade-774.ru,+7 (916) 847-39-98
c_001046,«Монолит Медиа»,Строительная компания,Москва,"ул. Ленина, д. 21",3.9,71,,+7 (961) 563-27-31
c_001002,ООО «Триумф Плюс»,Строительная компания,Воронеж,"ул. Парковая, д. 90, офис 34",4.2,43,http://triumf-plus-21.ru,+7 (383) 790-58-64
c_001092,ООО «Кварц Про»,Риэлторское агентство,Санкт-Петербург,"ул. Южная, д. 20",3.6,21,https://kvarts-pro-641.ru,+7 (495) 163-53-69
c_001072,«Каскад»,Стоматология,Ростов-на-Дону,"ул. Садовая, д. 100",3.8,53,https://kaskad-74.com,+7 (863) 942-45-95
c_001015,АО «Платформа»,Пермь,"ул. Советская, д. 89, офис 43",,4.2,77,,+7 (383) 920-78-13
c_001185,ООО «Маяк Тех»,Салон красоты,Москва,"ул. Пушкина, д. 107",4.6,222,,+7 (499) 314-39-87
c_001114,ООО «Кристалл Групп»,Медицинский центр,Самара,"ул. Школьная, д. 111",4.0,2,https://kristall-group-459.ru,+7 (495) 780-82-51
c_001156,ООО «Кристалл Тех»,Производство мебели,Москва,"ул. Пушкина, д. 34",4.5,28,https://kristall-tech-334.ru,+7 (925) 767-28-63
c_001061,ООО «Полёт Групп»,Оптовая торговля,Сочи,"ул. Мира, д. 23, офис 142",4.6,53,http://polet-group-579.ru,+7 (383) 773-69-98
c_001049,«Ритм Сервис»,Производство мебели,Волгоград,"ул. Центральная, д. 36",4.8,252,https://ritm-service-984.ru,+7 (961) 450-35-67
